Open time,Open,Close,High,Low,Volume,Amount
43095,153780,153780,153780,153780,75148,1155625944
43095,14600000007,14600000007,14600000007,14600000007,870414,127080444061
43095,14600000015,14600000015,14600000015,14600000015,6195046,90447671693
43095,14650000028,14650000028,14650000028,14650000028,61089,894953852
43095,14650000031,1465000003,14650000031,1465000003,1304254,1910732114
43095,14650000029,14650000031,14650000031,14650000029,2584086,37856859977
43095,14651000032,14651000032,14651000032,14651000032,114557,16783746107
43095,14651000041,1465100004,14651000041,1465100004,897386,13147602322
43095,14651000038,14651000038,14651000038,14651000038,1495798,21914936555
43095,1465100004,1465100004,1465100004,1465100004,41125,6025223766
43095,1465100004,1465100004,1465100004,1465100004,34634,507422735
43095,15496999999,15496999999,15496999999,15496999999,1002274,15532240177
43095,14651000041,14651000031,14651000041,14651000031,13863462,203113582262
43095,14651000031,14651000031,14651000031,14651000031,11291183,165427122483
43095,145000,145000,145000,145000,59,8555
43095,15449998996,15449998996,15449998996,15449998996,16554659,255769464929
43095,145000,145000,145000,145000,1470398,21320771
43095,145000,145000,145000,145000,184708,2678266
43095,15434548996,15434548996,15434548996,15434548996,1553335,23975025165
43095,145000,145000,145000,145000,339524,4923098
43095,15434548995,15434548995,15434548995,15434548995,4161436,64229887832
43095,15434548995,15434548995,15434548995,15434548995,318647,4918172734
43095,15434548995,15434548995,15434548995,15434548995,5889968,90908999675
43095,14000198398,14000198398,14000198398,14000198398,309,43260613
43095,14000198398,14000198398,14000198398,14000198398,1,140001984
43095,145000,145000,145000,145000,6188806,89737687
43095,145000,145000,145000,145000,6209673,900402585
43095,145000,145000,145000,145000,5443428,78929706
43095,145000,145000,145000,145000,3628956,52619862
43095,145000,145000,145000,145000,5141003,745445435
43095,145000,145000,145000,145000,1814472,26309844
43095,15100548987,15100548987,15100548987,15100548987,6903,1042390897
43095,140001985,140001985,140001985,140001985,5884078,82378259993
43095,140010,140010,140010,140010,57,798057
43095,140010,140010,140010,140010,1850241,25905224241
43095,15434548858,15434548858,15434548858,15434548858,15,23151823287
43095,15434548858,15434548858,15434548858,15434548858,2517469,38855998279
43095,15434548858,15434548858,15434548858,15434548858,534303,8246725758
43095,140010,14000198398,14001000001,14000198398,7765167,108715663634
43095,14000198398,14000198398,14000198398,14000198398,4997837,69970709562
43095,14000198398,14000198398,14000198398,14000198398,1445189,20232932722
43095,14000198398,14000198398,14000198398,14000198398,3052808,4273991767
43095,15434548859,15434548859,15434548859,15434548859,65401,100943493
43096,154000,15434548848,15434548848,154000,5050956,77954530161
43096,15434548848,15434548848,15434548848,15434548848,13522873,208719443883
43096,15434548848,15434548848,15434548848,15434548848,541751,83616822728
43096,1543454885,1543454885,1543454885,1543454885,6336579,97802238117
43096,1543454886,1543454886,1543454886,1543454886,288154,4447526992
43096,153500,153500,153500,153500,3616081,5550684335
43096,153500,153500,153500,153500,224652,34484082
43096,1464449375,153500,153500,1464449375,34024,515111745
43096,147510,147510,147510,147510,6,88506
43096,14750000002,14750000002,14750000002,14750000002,13887952,204847292027
43096,14750000002,14750000002,14750000002,14750000002,232268,3425953
43096,148000,14755000002,148000,14755000001,2061795,30451008002
43096,14755000003,14755000003,14755000003,14755000003,56496,83359848016
43096,14755000003,14755000003,14755000003,14755000003,7062,10419981002
43096,14755000003,14755000003,14755000003,14755000003,64567,9526860852
43096,14755000003,14755000003,14755000003,14755000003,10859,16022454503
43096,148000,148000,148000,148000,56805,840714
43096,15399999994,15399999994,15399999994,15399999994,28688,441795199828
43096,15399999994,15399999994,15399999994,15399999994,104563,1610270199
43096,15399999995,15399999995,15399999995,15399999995,2394714,36878595588
43096,15399999994,15399999994,15399999994,15399999994,832445,12819652995
43096,15399999994,15399999994,15399999994,15399999994,19561,3012394
43096,15399999994,15399999995,15399999995,15399999994,11965265,184265080938
43096,153999995,154970,154970,153999995,35291771,546830209919
43096,154970,154970,154970,154970,20544,318370368
43096,154970,14800100008,154970,14800100008,3623137,5411282005
43096,14800100009,14800100008,14800100009,14800100008,1353388,2003027775
43096,15496999999,15496999999,15496999999,15496999999,597194,9254715417
43096,15496999999,16200000031,16200000031,15496999999,100617,1561118017
43096,16200000031,16200000031,16200000031,16200000031,147879,23956398046
43096,15000000011,16200000031,16200000031,15000000011,5,7642446008
43096,1643454886,1643454886,1643454886,1643454886,5007492,8229587194
43096,15000000013,15000000013,15000000013,15000000013,19826539,297398085258
43096,164000,164000,164000,164000,5,820
43096,164000,164000,164000,164000,45816955,751398062
43096,164000,164000,164000,164000,3563589,584428596
43096,15000000011,15000000011,150010,15000000011,501104,75166146049
43096,15000000011,15000000011,15000000011,15000000011,2975981,44639715033
